id,quizId,question,choiceA,choiceB,choiceC,choiceD,correct,explanation,difficulty,tags
bases-1,bases,Quels sont les quatre tournois du Grand Chelem ?,Monte-Carlo, Rome, Miami, Cincinnati,Roland-Garros, Wimbledon, US Open, Australian Open,Madrid, Shanghai, Toronto, Halle,Doha, Indian Wells, Paris Masters, Halle,B,Ce sont les quatre tournois majeurs annuels.,easy,"tennis|sport"
bases-2,bases,Sur quelle surface se joue Roland-Garros ?,Gazon,Dur (hard),Terre battue,Moquette,C,Roland-Garros se joue sur terre battue.,easy,"tennis|sport"
bases-3,bases,Quel Grand Chelem se joue sur gazon ?,Australian Open,Roland-Garros,Wimbledon,US Open,C,Wimbledon est joué sur gazon.,easy,"tennis|sport"
bases-4,bases,Dans le tennis, que signifie “love” ?,Avantage,40,0 point,Égalité (deuce),C,"Love" indique zéro point.,easy,"tennis|sport"
bases-5,bases,Ordre classique des points dans un jeu (avant l’égalité) ?,0, 1, 2, 3,0, 15, 30, 40,0, 10, 20, 30,0, 15, 30, 45,B,Le comptage standard est 0 → 15 → 30 → 40.,easy,"tennis|sport"
bases-6,bases,À “deuce” (égalité), que faut-il pour gagner le jeu ?,Le serveur gagne auto,On rejoue tout,Deux points d’affilée (avantage puis jeu),Match interrompu,C,Après deuce il faut avantage puis point suivant.,easy,"tennis|sport"
bases-7,bases,Qu’est-ce qu’un “ace” ?,Service non retourné qui fait point,Double faute,Let,Lob raté,A,Un ace est un service directement gagnant.,easy,"tennis|sport"
bases-8,bases,Que signifie “double faute” ?,Deux fautes de pied,Deux services ratés d’affilée → point perdu,Faute + let,Frapper deux fois la balle,B,Deux services manqués coûtent le point.,easy,"tennis|sport"
bases-9,bases,Objet obligatoire sur un court pour un match officiel ?,Un filet,Des gradins,Chaise pour le public,Banc chauffant,A,Le filet sépare les deux camps.,easy,"tennis|sport"
bases-10,bases,Que signifie “let” au service ?,Sort,Perte du point,Le service touche le filet mais retombe bon → on rejoue le service,Point gagné auto,C,Un let annule le service; on rejoue.,easy,"tennis|sport"
bases-11,bases,Couleur officielle des balles en match ?,Orange,Blanche,Jaune (optic yellow),Rouge,C,Les balles officielles sont jaunes.,easy,"tennis|sport"
bases-12,bases,Combien de joueurs en simple ?,1,2,3,4,B,Le simple oppose deux joueurs.,easy,"tennis|sport"
bases-13,bases,Où doit rebondir un service valable ?,N’importe où,Dans le carré de service diagonal,Dans le couloir de double,Avant la ligne de fond,B,Le service doit atterrir dans le carré diagonal.,easy,"tennis|sport"
bases-14,bases,Combien d’essais maximum au service par point ?,1,2,3,Illimité,B,Deux essais maximum au service.,easy,"tennis|sport"
bases-15,bases,Avec quoi frappe-t-on la balle en tennis ?,Bâton,Raquette de ping-pong,Raquette de tennis,Main,C,On utilise une raquette de tennis.,easy,"tennis|sport"
roland-1,roland,Sur quelle surface se joue Roland-Garros ?,Dur,Gazon,Terre battue,Moquette,C,Terre battue.,easy,"tennis|sport"
roland-2,roland,Dans quelle ville se déroule Roland-Garros ?,Londres,Melbourne,New York,Paris,D,Le tournoi a lieu à Paris.,easy,"tennis|sport"
roland-3,roland,Comment s’appelle le stade de Roland-Garros ?,Centre Court,Arthur Ashe Stadium,Rod Laver Arena,Stade Roland-Garros,D,Le site porte le nom du tournoi.,easy,"tennis|sport"
roland-4,roland,Court central de Roland-Garros ?,Suzanne-Lenglen,Philippe-Chatrier,Simonne-Mathieu,Court 1,B,Le court principal est le Philippe-Chatrier.,easy,"tennis|sport"
roland-5,roland,Trophée simple messieurs à Roland-Garros :,Coupe Davis,Coupe du Baron Godillot,Coupe des Mousquetaires,Saladier d’argent,C,Le trophée des messieurs est la Coupe des Mousquetaires.,easy,"tennis|sport"
roland-6,roland,Trophée simple dames à Roland-Garros :,Venus Rosewater Dish,Norman Brookes Challenge Cup,Coupe Suzanne-Lenglen,Billie Jean King Cup,C,Le trophée dames est la Coupe Suzanne-Lenglen.,easy,"tennis|sport"
roland-7,roland,Période habituelle du tournoi :,Janvier,Fin mai – début juin,Juillet,Octobre,B,RG se déroule fin mai-début juin.,easy,"tennis|sport"
